panel_set,panel_seq,pgraph_seq,header,verse,text
20250804,1,1,
20250804,1,1,WELCOME,,"God is near."
20250804,1,2,,,"Ask Him to meet you where you are, and trust Him with your thoughts and feelings."
20250804,2,1,HONOR GOD,Psalms 34:1-3 NLT,"I will praise the Lord at all times. I will constantly speak his praises. I will boast only in the Lord; let all who are helpless take heart. Come, let us tell of the Lord's greatness; let us exalt his name together."
20250804,2,2,,,"Consider what it means to bless God at all times."
20250804,2,3,,,"After you've done this, spend some time praising the name of the Lord right now."
20250804,3,1,MY CONCERNS,Psalms 121:1-2 NLT,"I look up to the mountains— does my help come from there? My help comes from the Lord, who made heaven and earth!"
20250804,3,2,,,"Sit with this verse for a few minutes. Then, talk to God and let Him know where you need help."
20250804,4,1,THANK GOD,,"God, with all that I am, I give You thanks! You are worthy of all my praise and adoration. Thank You for loving me and for showing me what it means to love others."
20250804,4,2,,,"Please continue to fill me with the fruit of Your Spirit as I draw closer to You. In Jesus's name, amen."
20250804,5,1,CLOSING,,"We hope this time with God encouraged and inspired you."
20250804,5,2,,,"Give yourself space to process your prayers, and only leave when you feel ready."
20221130,1,1,WELCOME,,God sees you.
20221130,1,2,,,He created you-and He accepts you as you are.
20221130,1,3,,,"Relax, take a few deep breaths, and spend some time with the One who knows your heart."
20221130,2,1,HONOR GOD,ISAIAH 9:7 NLT,"His government and its peace will never end. He will rule with fairness and justice from the throne of his ancestor David for all eternity. The passionate commitment of the Lord of Heaven's Armies will make this 
happen! "
20221130,2,2,,,"The greatness of Jesus is beyond our understanding-He is good yesterday, today, and forever. Think about how amazing our God is, and tell Him about it."
20221130,3,1,MY CONCERNS,JOHN 6:35 NLT,"Jesus replied, ""I am the bread of life. Whoever comes to me will never be hungry again. Whoever believes in me will never be thirsty."
20221130,3,2,,,"Jesus came to earth because He knew we needed Him-and He still cares about our needs today. Bring your needs to God right now, and ask Him to sustain you."
20221130,4,1,GOD'S WILL,,"God, it can be frightening not knowing the future, but I can find peace in knowing that you are in my tomorrow. I trust You to sustain me all the days of my life-thank You for being my guide and my protector. Thank You for being my strength and future hope. In Jesus's name, amen."
20221130,5,1,CLOSING,,"As you go about your day, remember that Jesus has already seen your tomorrow, and He is guiding you right now. He is with you, and He is for you."
20221201,1,1,WELCOME,,What's on your mind today? Invite God into this moment and share your heart with Him.
20221201,2,1,HONOR GOD,"LUKE 1:35 NLT
","The angel replied, ""The Holy Spirit will come upon you, and the power of the Most High will overshadow you. So the baby to be born will be holy, and he will be called the Son of God. "
20221201,2,2,,,"Our God does the impossible.
"
20221201,2,3,,,"Think about the miracle of Jesus' birth, and bless God with whatever words of worship come to mind."
20221201,3,1,MY CONCERNS,LUKE 1:33 NLT,"And he will reign over Israel forever; his Kingdom will never end!"" "
20221201,3,2,,,We can put our hope in God because His power and majesty will last forever. Tell God what you are hoping for today.
20221201,4,1,GOD'S WILL,MATTHEW 21:9 NLT,"Jesus was in the center of the procession, and the people all around him were shouting, ""Praise God for the Son of David! Blessings on the one who comes in the name of the Lord! Praise God in highest heaven!"" "
20221201,4,2,,,Jesus will reign as king forever!
20221201,4,3,,,Spend a few moments thanking Jesus because we can put our hope in His faithfulness.
20221201,5,1,CLOSING,,"Before you leave, take a few moments to process your conversation with God. What is He teaching you today?"
20221202,1,1,WELCOME,,"This is an opportunity to have an honest conversation with God. These prompts will help you get started, but feel free to talk to God about whatever is on your mind today.
"
20221202,2,1,HONOR GOD,"JEREMIAH 33:14-16 NLT
","The day will come, says the Lord, when I will do for Israel and Judah all the good things I have promised them. In those days and at that time I will raise up a righteous descendant from King David's line. He will do what is just and right throughout the land. In that day Judah will be saved, and Jerusalem will live in safety. And this will be its name: 'The Lord Is Our Righteousness.' 
"
20221202,2,2,,,We can put our hope in the most high God-the God who keeps His promises. 
20221202,2,3,,,Spend a few moments praising God and reflect on His faithfulness.
20221202,3,1,MY CONCERNS,"JOHN 1:29 NLT
","The next day John saw Jesus coming toward him and said, ""Look! The Lamb of God who takes away the sin of the world! 
"
20221202,3,2,,,"Because Jesus' birth lead to the cross - all of our mistakes can be forgiven. In this moment, bring your concerns or mistakes to Jesus."
20221202,4,1,GOD'S WILL,,"Jesus, You are the most high God. I am so grateful for Your time on earth and for Your sacrifice. Thank You for forgiving all my mistakes and for caring about my troubles. Your Word gives me hope as I wait for Your return. Thank You! Amen."
20221202,5,1,CLOSING,,God is bigger than anything you are facing today.
20221202,5,2,,,"Reflect on the hope you have because God is with you, guiding your every step."
20221203,1,1,WELCOME,,You matter to God.
20221203,1,2,,,Grow closer to Him today through prayer.
20221203,2,1,HONOR GOD,JOHN 11:25 NLT,"Jesus told her, ""I am the resurrection and the life. Anyone who believes in me will live, even after dying."
20221203,2,2,,,"Because Jesus conquered the grave, we don't have to fear death! Process the hope Jesus has given us and praise Him for it."
20221203,3,1,MY CONCERNS,"MATTHEW 4:23 NLT
","Jesus traveled throughout the region of Galilee, teaching in the synagogues and announcing the Good News about the Kingdom. And he healed every kind of disease and illness. 
"
20221203,3,2,,,What area of your life do you need Jesus to touch and transform? Bring those things to Him right now.
20221203,4,1,prayers_done,,
20221203,5,1,GOD'S WILL,"HEBREWS 9:28 NLT
","so also Christ was offered once for all time as a sacrifice to take away the sins of many people. He will come again, not to deal with our sins, but to bring salvation to all who are eagerly waiting for him. 
"
20221203,5,2,,,"Jesus is coming back!
"
20221203,5,3,,,Take a moment to ask what you can do for Him while you wait for His return.
20221203,6,1,CLOSING,,"Before you go, take a moment to pray over your day."
20221203,6,2,,,"Jesus hears you, and He can fill you with hope.
"
20221203,6,3,,,Come back tomorrow and talk to Him again.
20221204,1,1,WELCOME,,"You belong to the One who loves you, and gave Himself for you."
20221204,1,2,,,"As you prepare to spend time with God, reflect on all that He's done."
20221204,2,1,HONOR GOD,JOHN 3:16-17 NLT,"For this is how God loved the world: He gave his one and only Son, so that everyone who believes in him will not perish but have eternal life. God sent his Son into the world not to judge the world, but to save the world through him. "
20221204,2,2,,,"Re-read this verse and consider how great God's love is. Right now, worship God as you reflect on His love."
20221204,3,1,MY CONCERNS,1 JOHN 4:16 NLT,"We know how much God loves us, and we have put our trust in his love. God is love, and all who live in love live in God, and God lives in them. "
20221204,3,2,,,In what ways do you need to put your trust in God today? 
20221204,3,3,,,Talk to God about whatever comes to mind.
20221204,4,1,GOD'S WILL,JOHN 13:34-35 NLT,"""So now I am giving you a new commandment: Love each other. Just as I have loved you, you should love each other. Your love for one another will prove to the world that you are my disciples."" "
20221204,4,2,,,"Re-read this verse, and then ask God to reveal how He wants you to show love to others this week."
20221204,5,1,CLOSING,,"What did God bring to your attention today? Spend a few minutes processing this, and consider revisiting this space throughout your day."
20221204,5,2,,,Come back tomorrow for another Guided Prayer experience.
20230101,1,1,WELCOME,,"As you go through the following prompts, you are invited to come as you are."
20230101,1,2,,,"Take a few deep breaths, and prepare for this special time with God."
20230101,2,1,"HONOR GOD
","1 CORINTHIANS 6:20 NLT
",for God bought you with a high price. So you must honor God with your body.
20230101,2,2,,,Imagine Jesus' arms outstretched as He dies for you.
