,prayer,create_date,answer_date,category,up_vote
0,Hike today? ,29-Mar-2023,,me,
1,How can I have meaningful conversations with Karli while she visits? Especially while Karli is engaged with her friends. , 29-Mar-2023,,family ,
2,Getting metal gate screen for Kit on Friday. Vehicle arrangements? , 29-Mar-2023,,friends ,
3,Visit to Cutting Edge today?, 29-Mar-2023,,me,
4,"Oh Lord my God, I  beg You to save Ryan and Savanna and their marriage. Impart to them wisdom beyond their years to understand what is really important in their lives. Regardless, I trust You to work everything out for their benefit. In Jesus's Name I pray. ", 29-Mar-2023,,family ,
5,Robin is packing food boxes today , 29-Mar-2023,,robin,
6,Bring Booth and Nicki back safely from their California trip to visit their great grandchild , 28-Mar-2023,,brothers and sisters ,
7,Rick's golf game and his relationship with David , 28-Mar-2023,,brothers and sisters ,
8,"Healing for Nicole, Diane's niece, from her nose surgery ", 28-Mar-2023,,brothers and sisters ,
9,Pick up Nick on the way to Gaslight camp? , 27-Mar-2023,,family ,
10,Health and healing for Regina , 27-Mar-2023,,friends ,
11,Marriage of friends of Maggie and Jeremy , 27-Mar-2023,,brothers and sisters ,
12,Video Director Sunday , 27-Mar-2023,,casas,
13,MKS oil change Friday , 27-Mar-2023,,us,
14,Video Director rehearsal Thursday , 27-Mar-2023,,casas,
15,Robin's dentist appointment Thursday , 27-Mar-2023,,robin,
16,DWDM ladies Bible study Tuesday , 27-Mar-2023, 29-Mar-2023,robin,
17,"Call Frank on Tuesday, his birthday ", 27-Mar-2023,,friends ,
18,Where shall we go hiking Tuesday? , 27-Mar-2023, 29-Mar-2023,friends ,
19,Work in the hearts and minds of all who serve You today and those who attend the service today , 26-Mar-2023, 27-Mar-2023,casas,
20,Rest and relaxation today , 26-Mar-2023, 27-Mar-2023,me,
21,Getting ready for stage captain; interacting with the worship and tech team today , 26-Mar-2023, 27-Mar-2023,me,
22,Help us prepare for leading our Bible study discussion with our small group , 26-Mar-2023, 28-Mar-2023,us,
23,Rooster Cogburn's Ostrich Farm with Karli and her friends? Sounds like fun to me and Karli wants to be with her friends. , 26-Mar-2023,,family ,
24,Hike the Preserve today , 25-Mar-2023, 26-Mar-2023,me,
25,"Holy Spirit, grant wisdom about love for Ryan and Savanna so that they stay together choosing love, give them faith to move forward together as they understand God's faithfulness in loving them; but ultimately I trust You to work everything out for their and others' benefit and Your glory ", 25-Mar-2023,,family ,
26,Doctor for health screening? , 24-Mar-2023,,me,
27,Making Arizona state tax credit donation today , 24-Mar-2023, 25-Mar-2023,casas,
28,Making travel arrangements for Karli's visit today , 24-Mar-2023, 25-Mar-2023,family ,
29,"Denisha and her family, draw close to them in their time of grief and provide them with what they need ", 24-Mar-2023,,brothers and sisters ,
30,Change how Ryan and Savanna are thinking so that they will stay together , 22-Mar-2023,,family ,
31,Health and safe travels for Kirk and Bev , 22-Mar-2023, 28-Mar-2023,family ,
32,"Bring Kirk, Bev, Brad, Courtney, and their family in to relationship with You, Lord Jesus; show them the Truth of who You are ", 22-Mar-2023,,family ,
33,Heal and strengthen my knee that is sore from my hike yesterday , 22-Mar-2023, 26-Mar-2023,me,
34,Kim's shed project , 21-Mar-2023,,family ,
35,"Guide my thinking about object design for ""my prayers"" project ", 21-Mar-2023,,me,
36,Heal Kirk and Bev so that they can visit us, 21-Mar-2023, 22-Mar-2023,family ,
37,Thank You for the trails and wildflowers in the beautiful Tortolita Mountains and the opportunity to hike with my buddy Kit, 21-Mar-2023,,me,
38,"My sunburnt nose, cheeks, ankles; healing and protection from melanoma ", 21-Mar-2023, 24-Mar-2023,me,
39,Healing and energy for Pastor Ben, 20-Mar-2023,,brothers and sisters ,
40,Collaboration with Christopher this week? , 20-Mar-2023, 24-Mar-2023,friends ,
41,Bob and Linda birthday brunch on Sunday , 20-Mar-2023, 27-Mar-2023,friends ,
42,Stage Captain on Sunday , 20-Mar-2023, 27-Mar-2023,casas,
43,Window washing on Friday , 20-Mar-2023, 25-Mar-2023,us,
44,Women's Ministry game night for Robin on Friday , 20-Mar-2023, 25-Mar-2023,robin,
45,Hiking with Kit Tuesday or Thursday? Cancel my participation with Weaver's trip to the Stone House on Thursday?, 20-Mar-2023, 21-Mar-2023,me,
46,Stage Captain rehearsal Thursday. , 20-Mar-2023, 24-Mar-2023,me,
47,Casas Connection Wednesday. , 20-Mar-2023, 23-Mar-2023,us,
48,I pray for Your influence and support for Savanna as she goes through this divorce. , 20-Mar-2023,,family ,
49,"Help us, especially Robin, process our grief over Ryan's and Savanna's divorce. ", 20-Mar-2023,,robin,
50,DWDM Bible study for Robin Tuesday? , 20-Mar-2023, 22-Mar-2023,robin,
51,Dermatologist visit for me on Wednesday. Protect me from sunburn and melanoma. , 20-Mar-2023, 23-Mar-2023,me,
52,Safe travels for Su-Ann and closeness to her son and family. Reveal Yourself to her and her family. , 20-Mar-2023,,others ,
