panel_id	component	pgraph	header	verse	message
20221204	1	1	WELCOME		You belong to the One who loves you, and gave Himself for you.
20221204	1	2			As you prepare to spend time with God, reflect on all that He's done.
20221204	2	1	HONOR GOD	JOHN 3:16-17 NLT	For this is how God loved the world: He gave his one and only Son, so that everyone who believes in him will not perish but have eternal life. God sent his Son into the world not to judge the world, but to save the world through him.
20221204	2	2			Re-read this verse and consider how great God's love is. Right now, worship God as you reflect on His love.
20221204	3	1	MY CONCERNS	1 JOHN 4:16 NLT	We know how much God loves us, and we have put our trust in his love. God is love, and all who live in love live in God, and God lives in them.
20221204	3	2			In what ways do you need to put your trust in God today?
20221204	3	3			Talk to God about whatever comes to mind.
20221204	4	1	GOD'S WILL	JOHN 13:34-35 NLT	"So now I am giving you a new commandment: Love each other. Just as I have loved you, you should love each other. Your love for one another will prove to the world that you are my disciples."
20221204	4	2			Re-read this verse, and then ask God to reveal how He wants you to show love to others this week.
20221204	5	1	CLOSING		What did God bring to your attention today? Spend a few minutes processing this, and consider revisiting this space throughout your day.
20221204	5	2			Come back tomorrow for another Guided Prayer experience.
