prayer,create_date,answer_date,category,answer,display_count
May David become passionate about something meaningful in his life, 20-Jan-2023,,brothers and sisters,,
Can the Jordan Peterson video about depression help David's thinking?, 20-Jan-2023,,brothers and sisters,,
May Piper get over her health problems, 20-Jan-2023,,brothers and sisters,,
Help Robin find shoes that fit well and feel good, 20-Jan-2023,,robin,,
Help me figure out why the .index function is not working the way that I expect, 20-Jan-2023,,me,,
"Lord, help Christopher feel much better today", 20-Jan-2023,,brothers and sisters,,
"Father God, draw our children Kimberly, Karli, Ryan, and Savanna to Jesus because no one can come to Jesus unless You draw them, so at the last day Jesus will raise them up.John 6:44 NLT", 20-Jan-2023,,family,,
"Lord Jesus, give Kimberly, Karli, Ryan, and Savanna singleness of heart and put a new spirit within them. Take away their stony, stubborn hearts and give them tender, responsive hearts. Ezekiel 11:19 NLT", 20-Jan-2023,,family,,
Thank you and gift cards for Frank and Cherrie, 19-Jan-2023,,brothers and sisters,,
Create album for spring flowers and share with Penny, 19-Jan-2023,,brothers and sisters,,
2022 tax filing and payment, 19-Jan-2023, 20-Jan-2023,us,,
"Lord, help me select the backpack best for my usage and get all my returns completed", 19-Jan-2023, 20-Jan-2023,me,,
"Bless Joe and Barb Cloutier, guide them and keep them safe", 18-Jan-2023,,brothers and sisters,,
Wood lathe from Harbor Freight?, 18-Jan-2023,,me,,
Reshape and reuse copper sheet on barbecue box, 18-Jan-2023,,me,,
"A backpack I get, but these other tech gadgets?", 18-Jan-2023, 19-Jan-2023,me,,
"Lunges, Lord, give me strength", 18-Jan-2023,,me,,
Caren Biermann as she recovers from pneumonia. , 17-Jan-2023,,brothers and sisters,,
Pastor Ben's devotional for May, 17-Jan-2023,,brothers and sisters,,
Matinee play Sunday afternoon, 17-Jan-2023,,us,,
Small group Bible study Friday, 17-Jan-2023,,brothers and sisters,,
Casas Connection Wednesday, 17-Jan-2023, 20-Jan-2023,brothers and sisters,,
Robin packing bread Wednesday, 17-Jan-2023, 20-Jan-2023,robin,,
DWDM ladies Bible study Tuesday, 17-Jan-2023, 19-Jan-2023,brothers and sisters,,
"Where to hike this week? Strengthen my knee, show me how", 17-Jan-2023, 20-Jan-2023,friends,,
Help Wynne and Kalon as they deal with Jim's death, 14-Apr-2023,,family,,
"Booth and Nicki, Dave and Cindy, Eliot and Kathy are traveling in their RVs, keep them safe", 14-Apr-2023,,brothers and sisters,,
"Lord, give Barb Robinson strength and heal her body and be with Rob as he helps her", 14-Apr-2023,,brothers and sisters,,
